D:/Sources/Other/renderdoc-profiler-counters/example.rdc - Frame #4294967295

 EID  | Event                                                         | Action #
2295  |           - DrawIndexedInstanced(792, 1)                      | 629   
2297  |           - DrawIndexedInstanced(792, 1)                      | 630   
2299  |           - DrawIndexedInstanced(792, 1)                      | 631   
2301  |           - DrawIndexedInstanced(792, 1)                      | 632   
2303  |           - DrawIndexedInstanced(792, 1)                      | 633   
2305  |           - DrawIndexedInstanced(792, 1)                      | 634   
2307  |           - DrawIndexedInstanced(792, 1)                      | 635   
2309  |           - DrawIndexedInstanced(792, 1)                      | 636   
2311  |           - DrawIndexedInstanced(792, 1)                      | 637   
2313  |           - DrawIndexedInstanced(792, 1)                      | 638   
2315  |           - DrawIndexedInstanced(792, 1)                      | 639   
2317  |           - DrawIndexedInstanced(792, 1)                      | 640   
2319  |           - DrawIndexedInstanced(792, 1)                      | 641   
2321  |           - DrawIndexedInstanced(792, 1)                      | 642   
2323  |           - DrawIndexedInstanced(792, 1)                      | 643   
2325  |           - DrawIndexedInstanced(792, 1)                      | 644   
2327  |           - DrawIndexedInstanced(792, 1)                      | 645   
2329  |           - DrawIndexedInstanced(792, 1)                      | 646   
2331  |           - DrawIndexedInstanced(792, 1)                      | 647   
2333  |           - DrawIndexedInstanced(792, 1)                      | 648   
2335  |           - DrawIndexedInstanced(792, 1)                      | 649   
2337  |           - DrawIndexedInstanced(792, 1)                      | 650   
2339  |           - DrawIndexedInstanced(792, 1)                      | 651   
2341  |           - DrawIndexedInstanced(792, 1)                      | 652   
2343  |           - DrawIndexedInstanced(792, 1)                      | 653   
2345  |           - DrawIndexedInstanced(792, 1)                      | 654   
2347  |           - DrawIndexedInstanced(792, 1)                      | 655   
2349  |           - DrawIndexedInstanced(792, 1)                      | 656   
2351  |           - DrawIndexedInstanced(792, 1)                      | 657   
2353  |           - DrawIndexedInstanced(792, 1)                      | 658   
2355  |           - DrawIndexedInstanced(792, 1)                      | 659   
2357  |           - DrawIndexedInstanced(792, 1)                      | 660   
2377  |           - DrawIndexedInstanced(9600, 1)                     | 661   
2379  |           - DrawIndexedInstanced(9600, 1)                     | 662   
2381  |           - DrawIndexedInstanced(9600, 1)                     | 663   
2383  |           - DrawIndexedInstanced(9600, 1)                     | 664   
2385  |           - DrawIndexedInstanced(9600, 1)                     | 665   
2389  |           - DrawIndexedInstanced(18114, 1)                    | 666   
2396  |         - RenderLoop.Draw                                     | 667-701
2399  |          \- QuadTreeBatchNode.Render                          |       
2419  |            \- DrawIndexedInstanced(1536, 4)                   | 667   
2423  |           - QuadTreeBatchNode.Render                          | 668-676
2438  |            \- DrawIndexedInstanced(1488, 33)                  | 668   
2443  |             - DrawIndexedInstanced(1488, 39)                  | 669   
2448  |             - DrawIndexedInstanced(1512, 67)                  | 670   
2453  |             - DrawIndexedInstanced(1488, 39)                  | 671   
2458  |             - DrawIndexedInstanced(1488, 58)                  | 672   
2463  |             - DrawIndexedInstanced(1512, 79)                  | 673   
2468  |             - DrawIndexedInstanced(1512, 77)                  | 674   
2473  |             - DrawIndexedInstanced(1512, 94)                  | 675   
2478  |             - DrawIndexedInstanced(1536, 384)                 | 676   
2482  |           - QuadTreeBatchNode.Render                          | 677-682
2494  |            \- DrawIndexed(1488)                               | 677   
2499  |             - DrawIndexed(1512)                               | 678   
2504  |             - DrawIndexedInstanced(1488, 2)                   | 679   
2509  |             - DrawIndexedInstanced(1512, 4)                   | 680   
2514  |             - DrawIndexedInstanced(1512, 3)                   | 681   
2519  |             - DrawIndexedInstanced(1536, 4)                   | 682   
2523  |           - QuadTreeBatchNode.Render                          | 683-688
2534  |            \- DrawIndexedInstanced(1488, 2)                   | 683   
2539  |             - DrawIndexedInstanced(1488, 4)                   | 684   
2544  |             - DrawIndexedInstanced(1512, 6)                   | 685   
2549  |             - DrawIndexedInstanced(1512, 4)                   | 686   
2554  |             - DrawIndexedInstanced(1512, 6)                   | 687   
2559  |             - DrawIndexedInstanced(1536, 6)                   | 688   
2563  |           - QuadTreeBatchNode.Render                          | 689-696
2574  |            \- DrawIndexedInstanced(1488, 2)                   | 689   
2579  |             - DrawIndexed(1488)                               | 690   
2584  |             - DrawIndexed(1512)                               | 691   
2589  |             - DrawIndexedInstanced(1488, 2)                   | 692   
2594  |             - DrawIndexed(1488)                               | 693   
2599  |             - DrawIndexedInstanced(1512, 3)                   | 694   
2604  |             - DrawIndexed(1512)                               | 695   
2609  |             - DrawIndexedInstanced(1536, 5)                   | 696   
2613  |           - QuadTreeBatchNode.Render                          | 697-700
2624  |            \- DrawIndexedInstanced(1488, 2)                   | 697   
2629  |             - DrawIndexedInstanced(1512, 2)                   | 698   
2634  |             - DrawIndexedInstanced(1512, 3)                   | 699   
2639  |             - DrawIndexedInstanced(1536, 2)                   | 700   
2642  |         - RenderLoop.DrawSRPBatcher                           | 701-937
2665  |          \- DrawIndexedInstanced(15468, 1)                    | 701   
2669  |           - DrawIndexedInstanced(5028, 1)                     | 702   
2671  |           - DrawIndexedInstanced(5028, 1)                     | 703   
2673  |           - DrawIndexedInstanced(5028, 1)                     | 704   
2675  |           - DrawIndexedInstanced(5028, 1)                     | 705   
2677  |           - DrawIndexedInstanced(5028, 1)                     | 706   
2679  |           - DrawIndexedInstanced(5028, 1)                     | 707   
2681  |           - DrawIndexedInstanced(5028, 1)                     | 708   
2683  |           - DrawIndexedInstanced(5028, 1)                     | 709   
2685  |           - DrawIndexedInstanced(5028, 1)                     | 710   
2687  |           - DrawIndexedInstanced(5028, 1)                     | 711   
2689  |           - DrawIndexedInstanced(5028, 1)                     | 712   
2691  |           - DrawIndexedInstanced(5028, 1)                     | 713   
2693  |           - DrawIndexedInstanced(5028, 1)                     | 714   
2695  |           - DrawIndexedInstanced(5028, 1)                     | 715   
2697  |           - DrawIndexedInstanced(5028, 1)                     | 716   
2699  |           - DrawIndexedInstanced(5028, 1)                     | 717   
2701  |           - DrawIndexedInstanced(5028, 1)                     | 718   
2703  |           - DrawIndexedInstanced(5028, 1)                     | 719   
2710  |           - DrawIndexedInstanced(6006, 1)                     | 720   
2712  |           - DrawIndexedInstanced(6006, 1)                     | 721   
2714  |           - DrawIndexedInstanced(6006, 1)                     | 722   
2716  |           - DrawIndexedInstanced(6006, 1)                     | 723   
2718  |           - DrawIndexedInstanced(6006, 1)                     | 724   
2725  |           - DrawIndexedInstanced(3003, 1)                     | 725   
2727  |           - DrawIndexedInstanced(3003, 1)                     | 726   
2729  |           - DrawIndexedInstanced(3003, 1)                     | 727   
2731  |           - DrawIndexedInstanced(3003, 1)                     | 728   
2733  |           - DrawIndexedInstanced(3003, 1)                     | 729   
2735  |           - DrawIndexedInstanced(3003, 1)                     | 730   
2737  |           - DrawIndexedInstanced(3003, 1)                     | 731   
2739  |           - DrawIndexedInstanced(3003, 1)                     | 732   
2741  |           - DrawIndexedInstanced(3003, 1)                     | 733   
2743  |           - DrawIndexedInstanced(3003, 1)                     | 734   
2745  |           - DrawIndexedInstanced(3003, 1)                     | 735   
2747  |           - DrawIndexedInstanced(3003, 1)                     | 736   
2749  |           - DrawIndexedInstanced(3003, 1)                     | 737   
2751  |           - DrawIndexedInstanced(3003, 1)                     | 738   
2753  |           - DrawIndexedInstanced(3003, 1)                     | 739   
2755  |           - DrawIndexedInstanced(3003, 1)                     | 740   
2757  |           - DrawIndexedInstanced(3003, 1)                     | 741   
2759  |           - DrawIndexedInstanced(3003, 1)                     | 742   
2761  |           - DrawIndexedInstanced(3003, 1)                     | 743   
2763  |           - DrawIndexedInstanced(3003, 1)                     | 744   
2765  |           - DrawIndexedInstanced(3003, 1)                     | 745   
2767  |           - DrawIndexedInstanced(3003, 1)                     | 746   
2769  |           - DrawIndexedInstanced(3003, 1)                     | 747   
2771  |           - DrawIndexedInstanced(3003, 1)                     | 748   
2773  |           - DrawIndexedInstanced(3003, 1)                     | 749   
2775  |           - DrawIndexedInstanced(3003, 1)                     | 750   
2777  |           - DrawIndexedInstanced(3003, 1)                     | 751   
2779  |           - DrawIndexedInstanced(3003, 1)                     | 752   
2781  |           - DrawIndexedInstanced(3003, 1)                     | 753   
2783  |           - DrawIndexedInstanced(3003, 1)                     | 754   
2785  |           - DrawIndexedInstanced(3003, 1)                     | 755   
2787  |           - DrawIndexedInstanced(3003, 1)                     | 756   
2789  |           - DrawIndexedInstanced(3003, 1)                     | 757   
2791  |           - DrawIndexedInstanced(3003, 1)                     | 758   
2793  |           - DrawIndexedInstanced(3003, 1)                     | 759   
2795  |           - DrawIndexedInstanced(3003, 1)                     | 760   
2797  |           - DrawIndexedInstanced(3003, 1)                     | 761   
2799  |           - DrawIndexedInstanced(3003, 1)                     | 762   
2801  |           - DrawIndexedInstanced(3003, 1)                     | 763   
2803  |           - DrawIndexedInstanced(3003, 1)                     | 764   
2805  |           - DrawIndexedInstanced(3003, 1)                     | 765   
2807  |           - DrawIndexedInstanced(3003, 1)                     | 766   
2809  |           - DrawIndexedInstanced(3003, 1)                     | 767   
2811  |           - DrawIndexedInstanced(3003, 1)                     | 768   
2813  |           - DrawIndexedInstanced(3003, 1)                     | 769   
2815  |           - DrawIndexedInstanced(3003, 1)                     | 770   
2817  |           - DrawIndexedInstanced(3003, 1)                     | 771   
2819  |           - DrawIndexedInstanced(3003, 1)                     | 772   
2821  |           - DrawIndexedInstanced(3003, 1)                     | 773   
2823  |           - DrawIndexedInstanced(3003, 1)                     | 774   
2825  |           - DrawIndexedInstanced(3003, 1)                     | 775   
2827  |           - DrawIndexedInstanced(3003, 1)                     | 776   
2829  |           - DrawIndexedInstanced(3003, 1)                     | 777   
2831  |           - DrawIndexedInstanced(3003, 1)                     | 778   
2833  |           - DrawIndexedInstanced(3003, 1)                     | 779   
2835  |           - DrawIndexedInstanced(3003, 1)                     | 780   
2837  |           - DrawIndexedInstanced(3003, 1)                     | 781   
2839  |           - DrawIndexedInstanced(3003, 1)                     | 782   
2841  |           - DrawIndexedInstanced(3003, 1)                     | 783   
2843  |           - DrawIndexedInstanced(3003, 1)                     | 784   
2845  |           - DrawIndexedInstanced(3003, 1)                     | 785   
2847  |           - DrawIndexedInstanced(3003, 1)                     | 786   
2849  |           - DrawIndexedInstanced(3003, 1)                     | 787   
2851  |           - DrawIndexedInstanced(3003, 1)                     | 788   
2853  |           - DrawIndexedInstanced(3003, 1)                     | 789   
2855  |           - DrawIndexedInstanced(3003, 1)                     | 790   
2857  |           - DrawIndexedInstanced(3003, 1)                     | 791   
2859  |           - DrawIndexedInstanced(3003, 1)                     | 792   
2861  |           - DrawIndexedInstanced(3003, 1)                     | 793   
2863  |           - DrawIndexedInstanced(3003, 1)                     | 794   
2865  |           - DrawIndexedInstanced(3003, 1)                     | 795   
2867  |           - DrawIndexedInstanced(3003, 1)                     | 796   
2869  |           - DrawIndexedInstanced(3003, 1)                     | 797   
2871  |           - DrawIndexedInstanced(3003, 1)                     | 798   
2873  |           - DrawIndexedInstanced(3003, 1)                     | 799   
2880  |           - DrawIndexedInstanced(12495, 1)                    | 800   
2884  |           - DrawIndexedInstanced(2478, 1)                     | 801   
2886  |           - DrawIndexedInstanced(2478, 1)                     | 802   
2888  |           - DrawIndexedInstanced(2478, 1)                     | 803   
2890  |           - DrawIndexedInstanced(2478, 1)                     | 804   
2892  |           - DrawIndexedInstanced(2478, 1)                     | 805   
2894  |           - DrawIndexedInstanced(2478, 1)                     | 806   
2896  |           - DrawIndexedInstanced(2478, 1)                     | 807   
2898  |           - DrawIndexedInstanced(2478, 1)                     | 808   
2900  |           - DrawIndexedInstanced(2478, 1)                     | 809   
2902  |           - DrawIndexedInstanced(2478, 1)                     | 810   
2904  |           - DrawIndexedInstanced(2478, 1)                     | 811   
2906  |           - DrawIndexedInstanced(2478, 1)                     | 812   
2908  |           - DrawIndexedInstanced(2478, 1)                     | 813   
2910  |           - DrawIndexedInstanced(2478, 1)                     | 814   
2912  |           - DrawIndexedInstanced(2478, 1)                     | 815   
2914  |           - DrawIndexedInstanced(2478, 1)                     | 816   
2916  |           - DrawIndexedInstanced(2478, 1)                     | 817   
2918  |           - DrawIndexedInstanced(2478, 1)                     | 818   
2920  |           - DrawIndexedInstanced(2478, 1)                     | 819   
2922  |           - DrawIndexedInstanced(2478, 1)                     | 820   
2924  |           - DrawIndexedInstanced(2478, 1)                     | 821   
2926  |           - DrawIndexedInstanced(2478, 1)                     | 822   
2928  |           - DrawIndexedInstanced(2478, 1)                     | 823   
2930  |           - DrawIndexedInstanced(2478, 1)                     | 824   
2932  |           - DrawIndexedInstanced(2478, 1)                     | 825   
2934  |           - DrawIndexedInstanced(2478, 1)                     | 826   
2936  |           - DrawIndexedInstanced(2478, 1)                     | 827   
2938  |           - DrawIndexedInstanced(2478, 1)                     | 828   
2940  |           - DrawIndexedInstanced(2478, 1)                     | 829   
2942  |           - DrawIndexedInstanced(2478, 1)                     | 830   
2944  |           - DrawIndexedInstanced(2478, 1)                     | 831   
2946  |           - DrawIndexedInstanced(2478, 1)                     | 832   
2948  |           - DrawIndexedInstanced(2478, 1)                     | 833   
2950  |           - DrawIndexedInstanced(2478, 1)                     | 834   
2952  |           - DrawIndexedInstanced(2478, 1)                     | 835   
2954  |           - DrawIndexedInstanced(2478, 1)                     | 836   
2956  |           - DrawIndexedInstanced(2478, 1)                     | 837   
2958  |           - DrawIndexedInstanced(2478, 1)                     | 838   
2960  |           - DrawIndexedInstanced(2478, 1)                     | 839   
2962  |           - DrawIndexedInstanced(2478, 1)                     | 840   
2964  |           - DrawIndexedInstanced(2478, 1)                     | 841   
2966  |           - DrawIndexedInstanced(2478, 1)                     | 842   
2968  |           - DrawIndexedInstanced(2478, 1)                     | 843   
2970  |           - DrawIndexedInstanced(2478, 1)                     | 844   
2972  |           - DrawIndexedInstanced(2478, 1)                     | 845   
2974  |           - DrawIndexedInstanced(2478, 1)                     | 846   
2976  |           - DrawIndexedInstanced(2478, 1)                     | 847   
2978  |           - DrawIndexedInstanced(2478, 1)                     | 848   
2980  |           - DrawIndexedInstanced(2478, 1)                     | 849   
2982  |           - DrawIndexedInstanced(2478, 1)                     | 850   
2984  |           - DrawIndexedInstanced(2478, 1)                     | 851   
2986  |           - DrawIndexedInstanced(2478, 1)                     | 852   
2988  |           - DrawIndexedInstanced(2478, 1)                     | 853   
2990  |           - DrawIndexedInstanced(2478, 1)                     | 854   
2992  |           - DrawIndexedInstanced(2478, 1)                     | 855   
2994  |           - DrawIndexedInstanced(2478, 1)                     | 856   
2996  |           - DrawIndexedInstanced(2478, 1)                     | 857   
2998  |           - DrawIndexedInstanced(2478, 1)                     | 858   
3000  |           - DrawIndexedInstanced(2478, 1)                     | 859   
3002  |           - DrawIndexedInstanced(2478, 1)                     | 860   
3004  |           - DrawIndexedInstanced(2478, 1)                     | 861   
3006  |           - DrawIndexedInstanced(2478, 1)                     | 862   
3008  |           - DrawIndexedInstanced(2478, 1)                     | 863   
3010  |           - DrawIndexedInstanced(2478, 1)                     | 864   
3012  |           - DrawIndexedInstanced(2478, 1)                     | 865   
3014  |           - DrawIndexedInstanced(2478, 1)                     | 866   
3016  |           - DrawIndexedInstanced(2478, 1)                     | 867   
3018  |           - DrawIndexedInstanced(2478, 1)                     | 868   
3025  |           - DrawIndexedInstanced(1644, 1)                     | 869   
3027  |           - DrawIndexedInstanced(1644, 1)                     | 870   
3029  |           - DrawIndexedInstanced(1644, 1)                     | 871   
3031  |           - DrawIndexedInstanced(1644, 1)                     | 872   
3038  |           - DrawIndexedInstanced(1776, 1)                     | 873   
3040  |           - DrawIndexedInstanced(1776, 1)                     | 874   
3042  |           - DrawIndexedInstanced(1776, 1)                     | 875   
3044  |           - DrawIndexedInstanced(1776, 1)                     | 876   
3046  |           - DrawIndexedInstanced(1776, 1)                     | 877   
3048  |           - DrawIndexedInstanced(1776, 1)                     | 878   
3050  |           - DrawIndexedInstanced(1776, 1)                     | 879   
3067  |           - DrawIndexedInstanced(474, 1)                      | 880   
3069  |           - DrawIndexedInstanced(474, 1)                      | 881   
3071  |           - DrawIndexedInstanced(474, 1)                      | 882   
3073  |           - DrawIndexedInstanced(474, 1)                      | 883   
3078  |           - DrawIndexedInstanced(1626, 1)                     | 884   
3080  |           - DrawIndexedInstanced(1626, 1)                     | 885   
3082  |           - DrawIndexedInstanced(1626, 1)                     | 886   
3084  |           - DrawIndexedInstanced(1626, 1)                     | 887   
3086  |           - DrawIndexedInstanced(1626, 1)                     | 888   
3088  |           - DrawIndexedInstanced(1626, 1)                     | 889   
3090  |           - DrawIndexedInstanced(1626, 1)                     | 890   
3092  |           - DrawIndexedInstanced(1626, 1)                     | 891   
3094  |           - DrawIndexedInstanced(1626, 1)                     | 892   
3096  |           - DrawIndexedInstanced(1626, 1)                     | 893   
3098  |           - DrawIndexedInstanced(1626, 1)                     | 894   
3100  |           - DrawIndexedInstanced(1626, 1)                     | 895   
3102  |           - DrawIndexedInstanced(1626, 1)                     | 896   
3104  |           - DrawIndexedInstanced(1626, 1)                     | 897   
3106  |           - DrawIndexedInstanced(1626, 1)                     | 898   
3108  |           - DrawIndexedInstanced(1626, 1)                     | 899   
3110  |           - DrawIndexedInstanced(1626, 1)                     | 900   
3112  |           - DrawIndexedInstanced(1626, 1)                     | 901   
3114  |           - DrawIndexedInstanced(1626, 1)                     | 902   
3116  |           - DrawIndexedInstanced(1626, 1)                     | 903   
3118  |           - DrawIndexedInstanced(1626, 1)                     | 904   
3120  |           - DrawIndexedInstanced(1626, 1)                     | 905   
3122  |           - DrawIndexedInstanced(1626, 1)                     | 906   
3124  |           - DrawIndexedInstanced(1626, 1)                     | 907   
3126  |           - DrawIndexedInstanced(1626, 1)                     | 908   
3128  |           - DrawIndexedInstanced(1626, 1)                     | 909   
3130  |           - DrawIndexedInstanced(1626, 1)                     | 910   
3132  |           - DrawIndexedInstanced(1626, 1)                     | 911   
3134  |           - DrawIndexedInstanced(1626, 1)                     | 912   
3136  |           - DrawIndexedInstanced(1626, 1)                     | 913   
3138  |           - DrawIndexedInstanced(1626, 1)                     | 914   
3140  |           - DrawIndexedInstanced(1626, 1)                     | 915   
3142  |           - DrawIndexedInstanced(1626, 1)                     | 916   
3144  |           - DrawIndexedInstanced(1626, 1)                     | 917   
3146  |           - DrawIndexedInstanced(1626, 1)                     | 918   
3148  |           - DrawIndexedInstanced(1626, 1)                     | 919   
3150  |           - DrawIndexedInstanced(1626, 1)                     | 920   
3152  |           - DrawIndexedInstanced(1626, 1)                     | 921   
3154  |           - DrawIndexedInstanced(1626, 1)                     | 922   
3156  |           - DrawIndexedInstanced(1626, 1)                     | 923   
3158  |           - DrawIndexedInstanced(1626, 1)                     | 924   
3160  |           - DrawIndexedInstanced(1626, 1)                     | 925   
3162  |           - DrawIndexedInstanced(1626, 1)                     | 926   
3164  |           - DrawIndexedInstanced(1626, 1)                     | 927   
3166  |           - DrawIndexedInstanced(1626, 1)                     | 928   
3168  |           - DrawIndexedInstanced(1626, 1)                     | 929   
3170  |           - DrawIndexedInstanced(1626, 1)                     | 930   
3172  |           - DrawIndexedInstanced(1626, 1)                     | 931   
3174  |           - DrawIndexedInstanced(1626, 1)                     | 932   
3176  |           - DrawIndexedInstanced(1626, 1)                     | 933   
3178  |           - DrawIndexedInstanced(1626, 1)                     | 934   
3180  |           - DrawIndexedInstanced(1626, 1)                     | 935   
3182  |           - DrawIndexedInstanced(1626, 1)                     | 936   
3189  |         - RenderLoop.DrawSRPBatcher                           | 937-1003
3199  |          \- DrawIndexedInstanced(1626, 1)                     | 937   
3201  |           - DrawIndexedInstanced(1626, 1)                     | 938   
3203  |           - DrawIndexedInstanced(1626, 1)                     | 939   
3205  |           - DrawIndexedInstanced(1626, 1)                     | 940   
3207  |           - DrawIndexedInstanced(1626, 1)                     | 941   
3209  |           - DrawIndexedInstanced(1626, 1)                     | 942   
3211  |           - DrawIndexedInstanced(1626, 1)                     | 943   
3213  |           - DrawIndexedInstanced(1626, 1)                     | 944   
3215  |           - DrawIndexedInstanced(1626, 1)                     | 945   
3217  |           - DrawIndexedInstanced(1626, 1)                     | 946   
3219  |           - DrawIndexedInstanced(1626, 1)                     | 947   
3221  |           - DrawIndexedInstanced(1626, 1)                     | 948   
3223  |           - DrawIndexedInstanced(1626, 1)                     | 949   
3225  |           - DrawIndexedInstanced(1626, 1)                     | 950   
3227  |           - DrawIndexedInstanced(1626, 1)                     | 951   
3229  |           - DrawIndexedInstanced(1626, 1)                     | 952   
3231  |           - DrawIndexedInstanced(1626, 1)                     | 953   
3233  |           - DrawIndexedInstanced(1626, 1)                     | 954   
3235  |           - DrawIndexedInstanced(1626, 1)                     | 955   
3237  |           - DrawIndexedInstanced(1626, 1)                     | 956   
3239  |           - DrawIndexedInstanced(1626, 1)                     | 957   
3241  |           - DrawIndexedInstanced(1626, 1)                     | 958   
3267  |           - DrawIndexedInstanced(5136, 1)                     | 959   
3269  |           - DrawIndexedInstanced(5136, 1)                     | 960   
3273  |           - DrawIndexedInstanced(2907, 1)                     | 961   
3275  |           - DrawIndexedInstanced(2907, 1)                     | 962   
3277  |           - DrawIndexedInstanced(2907, 1)                     | 963   
3279  |           - DrawIndexedInstanced(2907, 1)                     | 964   
3281  |           - DrawIndexedInstanced(2907, 1)                     | 965   
3283  |           - DrawIndexedInstanced(2907, 1)                     | 966   
3285  |           - DrawIndexedInstanced(2907, 1)                     | 967   
3287  |           - DrawIndexedInstanced(2907, 1)                     | 968   
3289  |           - DrawIndexedInstanced(2907, 1)                     | 969   
3291  |           - DrawIndexedInstanced(2907, 1)                     | 970   
3293  |           - DrawIndexedInstanced(2907, 1)                     | 971   
3316  |           - DrawIndexedInstanced(17940, 1)                    | 972   
3320  |           - DrawIndexedInstanced(11610, 1)                    | 973   
3327  |           - DrawIndexedInstanced(6453, 1)                     | 974   
3329  |           - DrawIndexedInstanced(6453, 1)                     | 975   
3336  |           - DrawIndexedInstanced(7260, 1)                     | 976   
3338  |           - DrawIndexedInstanced(7260, 1)                     | 977   
3340  |           - DrawIndexedInstanced(7260, 1)                     | 978   
3342  |           - DrawIndexedInstanced(7260, 1)                     | 979   
3344  |           - DrawIndexedInstanced(7260, 1)                     | 980   
3348  |           - DrawIndexedInstanced(12495, 1)                    | 981   
3355  |           - DrawIndexedInstanced(3930, 1)                     | 982   
3357  |           - DrawIndexedInstanced(3930, 1)                     | 983   
3359  |           - DrawIndexedInstanced(3930, 1)                     | 984   
3361  |           - DrawIndexedInstanced(3930, 1)                     | 985   
3363  |           - DrawIndexedInstanced(3930, 1)                     | 986   
3365  |           - DrawIndexedInstanced(3930, 1)                     | 987   
3372  |           - DrawIndexedInstanced(4032, 1)                     | 988   
3374  |           - DrawIndexedInstanced(4032, 1)                     | 989   
3376  |           - DrawIndexedInstanced(4032, 1)                     | 990   
3378  |           - DrawIndexedInstanced(4032, 1)                     | 991   
3380  |           - DrawIndexedInstanced(4032, 1)                     | 992   
3384  |           - DrawIndexedInstanced(7200, 1)                     | 993   
3386  |           - DrawIndexedInstanced(7200, 1)                     | 994   
3403  |           - DrawIndexedInstanced(609, 1)                      | 995   
3405  |           - DrawIndexedInstanced(609, 1)                      | 996   
3407  |           - DrawIndexedInstanced(609, 1)                      | 997   
3409  |           - DrawIndexedInstanced(609, 1)                      | 998   
3411  |           - DrawIndexedInstanced(609, 1)                      | 999   
3413  |           - DrawIndexedInstanced(609, 1)                      | 1000  
3418  |           - DrawIndexedInstanced(2337, 1)                     | 1001  
3420  |           - DrawIndexedInstanced(2337, 1)                     | 1002  
3427  |         - RenderLoop.Draw                                     | 1003-1004
3450  |          \- DrawIndexedInstanced(108, 177)                    | 1003  
3462  |           - DrawIndexedInstanced(108, 42)                     | 1004  
3464  |         - RenderLoop.Draw                                     | 1005-1007
3475  |          \- DrawIndexedInstanced(108, 14)                     | 1005  
3487  |           - DrawIndexedInstanced(108, 35)                     | 1006  
3499  |           - DrawIndexedInstanced(108, 236)                    | 1007  
3501  |         - RenderLoop.Draw                                     | 1008-1147
3512  |          \- DrawIndexedInstanced(108, 19)                     | 1008  
3524  |           - DrawIndexedInstanced(108, 59)                     | 1009  
3534  |           - DrawIndexedInstanced(108, 71)                     | 1010  
3554  |           - DrawIndexedInstanced(3408, 20)                    | 1011  
3560  |           - DrawIndexedInstanced(3408, 39)                    | 1012  
3566  |           - DrawIndexedInstanced(3408, 73)                    | 1013  
3572  |           - DrawIndexedInstanced(3408, 95)                    | 1014  
3578  |           - DrawIndexedInstanced(3408, 17)                    | 1015  
3584  |           - DrawIndexedInstanced(3408, 30)                    | 1016  
3588  |           - DrawIndexedInstanced(3408, 30)                    | 1017  
3594  |           - DrawIndexedInstanced(3408, 72)                    | 1018  
3600  |           - DrawIndexedInstanced(3408, 33)                    | 1019  
3606  |           - DrawIndexedInstanced(3408, 26)                    | 1020  
3612  |           - DrawIndexedInstanced(3408, 27)                    | 1021  
3618  |           - DrawIndexedInstanced(3408, 4)                     | 1022  
3624  |           - DrawIndexedInstanced(3408, 38)                    | 1023  
3630  |           - DrawIndexedInstanced(3408, 97)                    | 1024  
3636  |           - DrawIndexedInstanced(3408, 68)                    | 1025  
3642  |           - DrawIndexedInstanced(3408, 49)                    | 1026  
3648  |           - DrawIndexedInstanced(3408, 19)                    | 1027  
3654  |           - DrawIndexedInstanced(3408, 4)                     | 1028  
3660  |           - DrawIndexedInstanced(3408, 40)                    | 1029  
3666  |           - DrawIndexedInstanced(3408, 49)                    | 1030  
3672  |           - DrawIndexedInstanced(3408, 41)                    | 1031  
3678  |           - DrawIndexedInstanced(3408, 57)                    | 1032  
3684  |           - DrawIndexedInstanced(3408, 31)                    | 1033  
3690  |           - DrawIndexedInstanced(3408, 80)                    | 1034  
3696  |           - DrawIndexedInstanced(3408, 89)                    | 1035  
3702  |           - DrawIndexedInstanced(3408, 83)                    | 1036  
3708  |           - DrawIndexedInstanced(3408, 56)                    | 1037  
3714  |           - DrawIndexedInstanced(3408, 23)                    | 1038  
3720  |           - DrawIndexedInstanced(3408, 14)                    | 1039  
3726  |           - DrawIndexedInstanced(3408, 16)                    | 1040  
3732  |           - DrawIndexedInstanced(3408, 22)                    | 1041  
3738  |           - DrawIndexedInstanced(3408, 36)                    | 1042  
3744  |           - DrawIndexedInstanced(3408, 83)                    | 1043  
3750  |           - DrawIndexedInstanced(3408, 53)                    | 1044  
3756  |           - DrawIndexedInstanced(3408, 75)                    | 1045  
3762  |           - DrawIndexedInstanced(3408, 47)                    | 1046  
3768  |           - DrawIndexedInstanced(3408, 56)                    | 1047  
3774  |           - DrawIndexedInstanced(3408, 45)                    | 1048  
3780  |           - DrawIndexedInstanced(3408, 24)                    | 1049  
3786  |           - DrawIndexedInstanced(3408, 52)                    | 1050  
3792  |           - DrawIndexedInstanced(3408, 14)                    | 1051  
3798  |           - DrawIndexedInstanced(3408, 19)                    | 1052  
3804  |           - DrawIndexedInstanced(3408, 56)                    | 1053  
3810  |           - DrawIndexedInstanced(3408, 59)                    | 1054  
3816  |           - DrawIndexedInstanced(3408, 44)                    | 1055  
3822  |           - DrawIndexedInstanced(3408, 35)                    | 1056  
3826  |           - DrawIndexedInstanced(3408, 35)                    | 1057  
3832  |           - DrawIndexedInstanced(3408, 49)                    | 1058  
3838  |           - DrawIndexedInstanced(3408, 61)                    | 1059  
3844  |           - DrawIndexedInstanced(3408, 34)                    | 1060  
3850  |           - DrawIndexedInstanced(3408, 28)                    | 1061  
3856  |           - DrawIndexedInstanced(3408, 6)                     | 1062  
3862  |           - DrawIndexedInstanced(3408, 101)                   | 1063  
3868  |           - DrawIndexedInstanced(3408, 52)                    | 1064  
3874  |           - DrawIndexedInstanced(3408, 19)                    | 1065  
3880  |           - DrawIndexedInstanced(3408, 32)                    | 1066  
3886  |           - DrawIndexedInstanced(3408, 56)                    | 1067  
