EID,GPU Duration (ms),Rasterized Primitives,Samples Passed,VS Invocations,PS Invocations,CS Invocations,dram__bytes_op_read.sum (bytes),dram__bytes_op_write.sum (bytes),gpu__time_active.sum,gpu__time_duration.sum,sm__inst_executed.sum,dram__bytes_op_read.avg (bytes),dram__bytes_op_write.avg (bytes),sm__inst_executed.avg,tpc__average_registers_per_thread_shader_3d.avg.ratio,l1tex__t_sector_hit_rate.avg.pct (%),lts__average_t_sector_hit_rate_realtime.avg.pct (%),lts__t_sector_hit_rate.avg.pct (%),smsp__warp_issue_stalled_barrier_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_branch_resolving_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_dispatch_stall_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_drain_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_lg_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_long_scoreboard_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_long_scoreboard_pipe_l1tex_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_membar_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_mio_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_mio_throttle_pipe_mio_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_misc_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_no_instruction_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_not_selected_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_selected_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_short_scoreboard_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_sleeping_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_tex_throttle_per_warp_active.avg.pct (%),smsp__warp_issue_stalled_wait_per_warp_active.avg.pct (%),tpc__average_registers_per_thread_shader_3d.avg.pct (%),tpc__average_registers_per_thread_shader_cs.avg.pct (%),tpc__average_registers_per_thread_shader_ps.avg.pct (%),tpc__average_registers_per_thread_shader_vtg.avg.pct (%)
10658,0.01728,6254,1470,9558,1470,0,126208.00,145920.00,17632.00,17601.85185,150471.00,21034.66667,24320.00,3134.8125,53.07491,77.92778,83.34649,82.97702,0.00,0.54107,0.23707,0.10597,0.00,5.96269,5.96269,0.01315,0.00,8.62248,8.62248,0.92889,3.04107,0.43677,5.46451,95.64498,0.00,0.00036,6.66436,20.73239,0.00,6.00709,5.46007
10681,0.0144,1440,1678,2160,1678,0,84992.00,65536.00,14240.00,14194.44444,100560.00,14165.33333,10922.66667,2095.00,47.85386,76.16427,82.43586,81.53625,0.00,0.47462,0.30139,0.06984,0.00,15.41434,15.41434,0.00298,0.00,1.20161,1.20161,0.27745,2.81377,0.3759,6.8183,61.41883,0.00,0.00034,7.95848,18.69291,0.00,4.65778,5.31416
10700,0.01293,576,316,864,316,0,10240.00,15104.00,11104.00,11064.81481,22702.00,1706.66667,2517.33333,472.95833,53.78553,80.30019,93.30144,89.62375,0.00,0.59249,0.2914,0.11546,0.00,11.40585,11.40585,0.00065,0.00,0.09702,0.09702,0.39942,5.34183,0.13098,7.34215,66.12398,0.00,0.00388,8.72022,21.00997,0.00,4.89676,6.45577
10723,0.01443,1260,3278,1890,3278,0,101376.00,73984.00,13984.00,13953.7037,164778.00,16896.00,12330.66667,3432.875,47.36829,74.56498,84.48113,83.73714,0.00,0.49935,0.45556,0.05513,0.00,24.66405,24.66405,0.00466,0.00,6.13543,6.13543,0.17979,2.25244,1.04233,7.91929,62.61548,0.00,0.00106,9.11796,18.50324,0.00,4.8413,5.68657
10746,0.01866,8424,6908,12636,6908,0,293632.00,237312.00,20672.00,20629.62963,477740.00,48938.66667,39552.00,9952.91667,51.97772,77.87732,83.38562,83.08212,0.00,0.71065,0.55071,0.09967,0.00,10.03343,10.03343,0.01374,0.00,3.71918,3.71918,0.68155,2.25323,1.52346,9.68047,58.5958,0.00,0.00231,11.3809,20.3038,0.00,4.71048,5.34815
10765,0.01286,756,1296,1134,1296,0,13312.00,26368.00,11680.00,11638.88889,73508.00,2218.66667,4394.66667,1531.41667,50.66784,78.16954,92.36711,90.24254,0.00,0.73842,0.55339,0.09091,0.00,14.23958,14.23958,0.00367,0.00,0.3601,0.3601,0.27945,3.91414,0.89651,11.24965,52.40617,0.00,0.00,13.03501,19.79212,0.00,4.99425,5.53609
10786,0.01501,2124,11204,3186,11204,0,282624.00,142592.00,14368.00,14314.81481,492514.00,47104.00,23765.33333,10260.70833,50.90717,82.94766,79.56067,78.90871,0.00,0.5819,1.27799,0.05051,0.00,18.4316,18.4316,0.07924,0.00,12.70722,12.70722,0.18536,1.60233,7.01076,9.7173,36.10836,0.00,0.03662,11.26782,19.88561,0.00,4.75752,5.56243
10804,0.01446,2556,9049,3834,9049,0,216320.00,142080.00,13856.00,13805.55556,410296.00,36053.33333,23680.00,8547.83333,48.06791,78.38236,82.95731,81.79295,0.00,0.76748,1.02191,0.07707,0.00,20.00594,20.00594,0.0443,0.00,2.59409,2.59409,0.30343,2.47985,4.04351,12.44979,114.31703,0.00,0.02094,14.41981,18.77653,0.00,4.68777,5.57517
10832,0.00854,0,0,29920,0,0,98560.00,33792.00,11264.00,11231.48148,287640.00,16426.66667,5632.00,5992.50,64.50554,94.9734,95.55702,94.57262,0.00,0.24903,1.08654,0.06089,0.00,0.00,0.00,0.01429,0.00,0.7622,0.7622,0.00,0.8344,2.00922,9.51392,75.29013,0.00,0.00,5.2952,25.19748,0.00,0.00,6.15717
10840,0.01274,541,0,58344,0,0,4352.00,14080.00,14816.00,14768.51852,561227.00,725.33333,2346.66667,11692.22917,64.90537,98.69067,99.30897,98.74257,0.00,0.4337,1.38406,0.10664,0.00,0.04473,0.04473,0.01747,0.00,0.61905,0.61905,0.05756,1.24383,0.74638,16.59304,64.89014,0.00,0.00,9.28699,25.35366,0.00,0.00,6.54274
